epoch,N1,N2,N3,R,W
0,0.00022333703157304097,0.00017730230878718474,0.0002683061296258432,6.105556826901473e-06,0.999324948973187
1,0.0035410511608920054,0.0007688448151157943,4.112776850146052e-06,0.00016199178001460364,0.9955239994671273
2,0.012867669556262593,0.0018618586369332215,3.850552110459915e-05,0.0007867531967489957,0.9844452130889506
3,0.04364445631414102,0.005056184106024366,2.4865433296606928e-05,0.005064982060477792,0.9462095120860602
4,0.02519654048330389,0.0053725467234052755,5.3865304949704594e-05,0.011361776795123601,0.9580152706932175
5,0.054230622578977115,0.011122248992162746,2.0759577546353497e-05,0.0011654135362298371,0.9334609553150839
6,0.16984389158836943,0.017003287804389762,6.970187227636987e-05,0.004286271664312973,0.8087968470706515
7,0.4429594543816008,0.017736118592946996,0.00011280011679668112,0.014868467498409029,0.5243231594102464
8,0.35043580001704655,0.12403514726018447,0.00021428638189420438,0.07506226948951994,0.4502524968513548
9,0.1688039702736779,0.6100907407145969,0.0011077120133860905,0.047103315059980375,0.1728942619383587
10,0.0896150228366461,0.8195762943445326,0.015410616936125292,0.005514019116505184,0.06988404676619091
11,0.013327558711844089,0.005148789181178783,4.0730021267114024e-05,0.0016033257276397107,0.9798795963580702
12,0.010789381077150563,0.009549837269243605,0.00018666718888166777,0.0006930996640413404,0.9787810148006828
13,0.24732512404857765,0.024191784000505236,0.00015167105929555618,0.004308546501506292,0.7240228743901153
14,0.18229365279487275,0.5240143950660419,0.05726244245307119,0.0014370562078822328,0.234992453478132
15,0.020233813838449032,0.015503524542415995,5.859911910087529e-05,0.0011485397032431229,0.9630555227967909
16,0.14578504573889406,0.0865687219918294,0.00018461796152479044,0.007174756486314139,0.7602868578214377
17,0.10302893011259567,0.6953200117792151,0.004508018081899654,0.008609773981654247,0.1885332660446354
18,0.010110554544453611,0.0019923130371030133,1.7901755413488737e-05,0.0003045631092907314,0.9875746675537391
19,0.19561387049692708,0.259718696168203,0.0007719268627357887,0.006396626763267915,0.5374988797088663
20,0.000881300675743086,0.0002594916037559078,5.0420626693073726e-05,3.0795265887852424e-05,0.99877799182792
