epoch,N1,N2,N3,R,W
0,0.02559787221980002,0.02063084660307073,7.560752429325445e-06,0.0025900891336643086,0.9511736312910356
1,0.013565954337356993,0.014901527649870502,6.490799506983535e-05,0.0019859688592125013,0.9694816411584902
2,0.14902935934545516,0.05775688344893622,0.0002023166916339879,0.0023884757061132028,0.7906229648078615
3,0.0447129082520928,0.06301580757751367,3.915548461032208e-06,0.0030348884139508106,0.8892324802079817
4,0.010864010582815994,0.020796718033520168,5.808679220266291e-06,0.0018302065341073669,0.9665032561703363
5,0.0902540453473284,0.10456802669482969,7.072210040413679e-06,0.0018390111716653388,0.803331844576136
6,0.06194022842747409,0.06938975806400745,7.97452280012752e-06,0.00255129689434354,0.8661107420913747
7,0.11883072716609237,0.16372973562540513,1.93596606529173e-05,0.004650844278726697,0.7127693332691228
8,0.2540111662239382,0.05440125569837545,3.475635532883491e-05,0.005799649661722884,0.6857531720606347
9,0.36456398801499906,0.06466214402417968,2.2316702542632177e-05,0.004341941894598713,0.5664096093636799
10,0.6127898508251757,0.12513344963036394,9.233077741305798e-05,0.01721965057694387,0.24476471819010343
11,0.5483182367924037,0.2562029387498659,8.625153093345368e-05,0.02278796446002936,0.17260460846676762
12,0.5591034288847087,0.3299838793134603,0.00013212832135958341,0.018854532993371264,0.09192603048710012
13,0.4247785185696497,0.347702474205419,0.0019757798748622057,0.0423848332426712,0.1831583941073979
14,0.391899156279893,0.3742180763522676,0.0009739196200190017,0.017866241398303166,0.2150426063495172
15,0.34662690892609394,0.41304852983500756,2.911421333078363e-05,0.028518896408349325,0.2117765506172185
16,0.2805912879781454,0.6000979735229041,0.0008010109505039928,0.009275486495542445,0.10923424105290395
17,0.10159604437074819,0.8243637377243483,0.00011582942579966645,0.005042457113425095,0.06888193136567859
18,0.10488571429653987,0.8188757581934974,0.00012999532879819352,0.005601654339486126,0.07050687784167818
19,0.05841543894683945,0.842568922080784,0.00617959915698443,0.002734686729907724,0.09010135308548459
20,0.21605696663401694,0.6327880623889336,0.0002253877225020745,0.025371176645865537,0.1255584066086819
21,0.08922937469919391,0.8379068786629467,0.03362167795644639,0.003779143607770685,0.03546292507364235
22,0.13732619208234845,0.817308973933536,0.008623044369655428,0.009061505623961599,0.027680283990498714
23,0.16458472067285007,0.7809770064928719,0.010006111441699791,0.014160283637708519,0.030271877754869586
24,0.04221083382543115,0.9142441380192023,0.000818530777425191,0.009781852469904323,0.032944644908036815
25,0.028509228483485877,0.9589862015680147,0.005899783613516519,0.0013258924280829274,0.005278893906900082
26,0.02791323309513007,0.9534660716560566,0.0007366722194808957,0.008115132715056685,0.009768890314275669
27,0.013342248069271046,0.9711054567465011,0.005311412813163857,0.004347452798689441,0.005893429572374581
28,0.026526234973754094,0.9374114742897007,0.014362763015150066,0.004929346669869245,0.016770181051526143
29,0.013428452867106401,0.950154373965867,0.020534258101717964,0.005582085301133015,0.010300829764175665
30,0.03138752318719063,0.910836044316942,0.03506020835506702,0.011448886913189599,0.011267337227610846
31,0.014522463068158648,0.9651877298367064,0.00610722175468228,0.005704111838062585,0.008478473502389994
32,0.014057195691487558,0.9741329897460687,0.003892839874284871,0.004466995665674555,0.00344997902248468
33,0.030824705192844595,0.9417063988048889,0.020140917576470165,0.004392507254768144,0.0029354711710283987
34,0.02116783070100393,0.9645886963380008,0.00979089341170337,0.0022120948266321494,0.0022404847226598114
35,0.02627052517180488,0.9034223124599554,0.0558600183449517,0.010229524794964216,0.004217619228323774
36,0.037559314190637315,0.9428114590628137,0.011062124595408061,0.00528834871249298,0.003278753438647976
37,0.015447863459918509,0.9693098943083759,0.00701414338505698,0.004231550974175355,0.003996547872473145
38,0.0128516733870493,0.9456304230985954,0.03634267384379376,0.003033514407440869,0.0021417152631207116
39,0.02558247189079102,0.9495750854743026,0.015536658897386119,0.005462365616952907,0.0038434181205672696
40,0.015688332802684144,0.9335280425129038,0.04355268866444036,0.003512783469661144,0.0037181525503103903
41,0.014954611135592693,0.9611692057211606,0.00844358494222853,0.012197287414056028,0.0032353107869621503
42,0.01571751389934455,0.7870825518986337,0.18458513923568065,0.009951282715909199,0.002663512250431812
43,0.029109651429814278,0.9373346490726128,0.02173859189451035,0.004932896880425484,0.006884210722637068
44,0.030764227521319375,0.9362368377345476,0.017265580555747298,0.010283455301716052,0.005449898886669687
45,0.03872832535000032,0.8753881433414575,0.06692255476075977,0.013328876403194351,0.005632100144587937
46,0.038116931989317586,0.936101958459394,0.0096490536037213,0.007891487242011695,0.008240568705555291
47,0.011553607946030813,0.9580501644924179,0.022782517188920944,0.002981635934849599,0.004632074437780723
48,0.022715545868536156,0.937622849366192,0.02290480771452448,0.00858609406437826,0.008170702986369224
49,0.01190104706398567,0.9369728663751364,0.04237482393953847,0.0025526931409133274,0.006198569480425955
50,0.08501762187375804,0.8499506378409883,0.031078521354388593,0.00382973752849095,0.030123481402374072
51,0.05334521723764348,0.8701589285978951,0.012675629009584305,0.0019671395240773468,0.06185308563079966
52,0.02024102492568427,0.5140757316296098,0.0005552415378693592,0.0008092050958759604,0.4643187968109605
53,0.16697395712256569,0.5150044326419704,4.437221952046205e-05,0.006863218591969981,0.31111401942397365
54,0.010940311713811999,0.971506461788312,0.0023148548640049005,0.0002157996650066455,0.015022571968864517
55,0.02264050441930531,0.14689094181366735,0.0001208714124700998,0.0004254655041234891,0.8299222168504337
56,0.12004369014857717,0.3827202431407275,4.892699875541944e-05,0.0009940484824147611,0.4961930912295253
57,0.15671669873732655,0.8062917521946094,0.0003783224585072994,0.00563551513335596,0.03097771147620084
58,0.15302236170090464,0.6963936367057445,2.7345557300474716e-05,0.0017129405271492832,0.14884371550890105
59,0.1338694639165359,0.7908758358847288,7.466950701919978e-05,0.00952654875425477,0.06565348193746157
60,0.3241922181494576,0.5849775575119498,0.001064913875476306,0.0049749609982968545,0.08479034946481942
61,0.1636287597095665,0.7856550325781486,0.0004945713451378289,0.005991501402994594,0.04423013496415263
62,0.30693710246446376,0.6113588023600609,0.0001718759027906104,0.007867224441375092,0.07366499483130969
63,0.09463648319570546,0.840916323431277,0.0017997078313360226,0.013763689088427844,0.048883796453253865
64,0.06995912207267795,0.8999614516000508,0.00084195932803033,0.013199899504295396,0.01603756749494542
65,0.15825467744190555,0.807219917990725,0.0042030574421177205,0.0077536610413542015,0.022568686083897293
66,0.15225459434656038,0.820611347602511,0.0011250196580140225,0.013192750100286383,0.012816288292628077
67,0.031245286150179376,0.9521177296752668,0.0014390167675269155,0.00851386230562344,0.006684105101403526
68,0.016474587562919606,0.9621030758015385,0.014561898155916879,0.0037180868142413243,0.003142351665383604
69,0.00658265284111761,0.9445111398270438,0.04225358539938611,0.0033099365575178716,0.0033426853749346404
70,0.020059437758157713,0.9407829035252845,0.024807151911938555,0.010153350434227553,0.004197156370391544
71,0.01323153313575604,0.8811481725894951,0.09639408491811997,0.005181599072572764,0.004044610284056048
72,0.0072472309246338455,0.7897272145449709,0.19884622847526628,0.0022711690843364944,0.0019081569707926
73,0.009928551961910694,0.8627561228325754,0.11889446216646676,0.004956995429868248,0.003463867609178737
74,0.04727362021743107,0.8819164029142806,0.04963340403534168,0.013056003299093124,0.008120569533853737
75,0.027896409047871728,0.8819558022985977,0.0756549967630968,0.010340392570142999,0.004152399320290734
76,0.008477153685504831,0.9668915259711216,0.018672899526502675,0.004429180603007326,0.0015292402138637501
77,0.034765583462304725,0.8560150204158995,0.09109780770285054,0.008932584436181269,0.00918900398276377
78,0.02535688325716631,0.9569583094291123,0.007433818542486353,0.005995269960373157,0.0042557188108620705
79,0.02288810396521191,0.9538931872234651,0.01235314305239006,0.0035836078960151457,0.007281957862917695
80,0.010644680044577214,0.9741261981241346,0.0011483774733765382,0.009381810387474605,0.0046989339704371375
