epoch,N1,N2,N3,R,W
0,0.0010909461124214979,0.0019369435044577818,8.270591918849859e-07,5.005224348618871e-05,0.9969212310804426
1,0.001079952596749649,0.0009212537003003883,1.0663414836456992e-06,5.97920865937143e-05,0.9979379352748727
2,0.0011641024378321544,0.0004756034386092726,7.393419064895253e-07,4.1380017779429845e-05,0.9983181747638726
3,0.0010709430262319745,0.00033997623756992746,1.4864753638183943e-06,0.00011132314323540203,0.9984762711175988
4,0.008076520544992786,0.0008770434733010359,4.982306194780887e-06,9.126500490959819e-05,0.9909501886706018
5,0.0015111704985019962,0.0004043373221735814,1.1614884851452508e-06,7.973386840305948e-05,0.9980035968224363
6,0.006483899732781249,0.0004710147674207089,8.072368526046288e-06,8.466454885681983e-05,0.9929523485824151
7,0.017085624379827427,0.0009296535758455698,1.0457364637847987e-05,0.00019607561976710524,0.981778189059922
8,0.03295967141267123,0.001901630790784659,9.68031655996358e-06,0.0005746737061319662,0.9645543437738522
9,0.11181366946082746,0.10260717293019503,8.243421033323193e-05,0.008409907028518354,0.7770868163701259
10,0.09162527360414534,0.07715600074039718,0.0001037692762747547,0.00987262790406491,0.8212423284751179
11,0.14878727529587157,0.219746613789976,0.00019569608826223542,0.027573964478241276,0.603696450347649
12,0.11208480783684426,0.5365530470290719,0.0009643659686444961,0.04177777552059086,0.3086200036448485
13,0.1707390590902577,0.3030569741403857,0.0005527682737520546,0.08730926223981121,0.4383419362557934
14,0.03268806944990562,0.041911569937777615,5.684128137304942e-05,0.011419524692978682,0.913923994637965
15,0.078856132999833,0.46285829955900915,0.0007648587418746918,0.01777071987598882,0.43974998882329425
16,0.09026151607116903,0.5699406638946558,0.0006214071618573996,0.025102100536073566,0.3140743123362442
17,0.005901906710927702,0.006851823172529853,0.0001778146659303357,0.00015031635797351756,0.9869181390926386
18,0.04538353299336673,0.006803200350349508,3.240631793684303e-05,0.0011313527398418605,0.9466495075985051
19,0.3299091750105349,0.5217633315077401,0.0026918082342777916,0.0026844232275959334,0.1429512620198513
20,0.15337191512046247,0.3093937738923826,0.0004935736218744985,0.0012813552718856285,0.5354593820933948
21,0.1458343473384415,0.6849207397607125,0.001538333198275866,0.006668272091941518,0.1610383076106284
22,0.19356574653734954,0.510194590909372,0.0012196696623903898,0.02895962994877033,0.2660603629421178
23,0.12966990609630077,0.7384852941515807,0.001813009871666438,0.008147382341697948,0.12188440753875429
24,0.06751287294088677,0.3491033608896658,0.003759291496457798,0.0032782721843897266,0.5763462024885999
25,0.47731199349416736,0.1902749503947585,0.00032248877479325403,0.0036528788897317735,0.3284376884465492
26,0.14252707208878732,0.7966258310861747,0.0004723788721017382,0.002947541592417951,0.05742717636051855
27,0.10833021935996041,0.8557825692672597,0.002657907817689606,0.001238792338056202,0.031990511217034084
28,0.05672794549614002,0.9033274522202303,0.003902303935293636,0.0018441728902038764,0.03419812545813215
29,0.0480640582112465,0.9140302208560507,0.002616298413907065,0.003401765668071699,0.03188765685072403
30,0.14539849807831257,0.5411837640238653,0.001365639150810728,0.019817350409836905,0.2922347483371745
31,0.33688278961550777,0.38204547236759423,0.00031518710141487924,0.009569259344545725,0.27118729157093746
32,0.2083935009021915,0.697650350080982,0.0006655144609924978,0.0020035350061413967,0.09128709954969264
33,0.1432102711231724,0.709524873911935,0.00048262518220398517,0.0007232744354934374,0.14605895534719507
34,0.3941610820775715,0.5675932655554814,0.004016530502531347,0.0006210622605077364,0.033608059603908
35,0.08641842343880755,0.8796744583713626,0.0009887288085483786,0.0010548231862908296,0.03186356619499069
36,0.11531829671854836,0.8558463941583202,0.0032532928761337373,0.0019308343268996124,0.023651181920098095
37,0.04514596812475386,0.9272754156175406,0.013183348328633231,0.0010676724014208425,0.013327595527651418
38,0.04123982481577124,0.9248456379567364,0.010208165901782229,0.0023608572594410546,0.021345514066269014
39,0.04881705889885938,0.8847754161914392,0.03326906851072702,0.0021382368904673005,0.031000219508507152
40,0.11688369372558986,0.7561312432501629,0.0028933613825076147,0.004010364791780947,0.1200813368499586
41,0.07646397349082638,0.8906013333578954,0.0025654792401178096,0.00133592318567402,0.029033290725486084
42,0.2514715370264904,0.663917574634624,0.0018229859911963306,0.00400321964175921,0.07878468270593005
43,0.02091484426128201,0.8949468605560116,0.0775634207162226,0.0001320538618036685,0.006442820604680162
44,0.02491666679106554,0.8576476886511707,0.10554682002372812,0.0001736527579752276,0.011715171776060431
45,0.019373661522039606,0.7996191161346368,0.17500669989368595,0.0001644147730050361,0.005836107676632633
46,0.052356204572930484,0.857572948520996,0.07764230576796124,0.0005750821123168254,0.011853459025795684
47,0.03242477097890703,0.7937228021626122,0.16679443980342182,0.0002952613186983718,0.006762725736360894
48,0.01126021140026752,0.835294944118521,0.147482678398762,4.226752165178432e-05,0.005919898560797582
49,0.010501102360072487,0.7107929213824405,0.27273398174061847,2.4718043798387923e-05,0.005947276473070193
50,0.013525287802223365,0.48564398419666877,0.49602060059597575,2.5162922249419588e-05,0.0047849644828825335
51,0.0044189563447210685,0.40489364113798654,0.5810939436548536,2.6206155951951436e-05,0.009567252706486848
52,0.0036355720375026252,0.2862158519735125,0.703268704861033,2.671801641637478e-05,0.006853153111535504
53,0.00374503867148783,0.5867163475815542,0.402487268180336,2.4476091278113287e-05,0.00702686947534386
54,0.003381594969865241,0.22795551438817074,0.7597270557008753,2.602839935830321e-05,0.00890980654173041
55,0.010967360762122156,0.3338723146724978,0.6430785521377248,5.252484165859208e-05,0.012029247585996604
56,0.007378715666959606,0.31157834832083453,0.6738916186256986,2.7866392229669324e-05,0.0071234509942775135
57,0.0024482853838387313,0.3564814985075463,0.6365231011281888,1.8476258740665894e-05,0.004528638721685617
58,0.004344359527231934,0.26079757886190236,0.7304701612227891,3.2674892195413685e-05,0.004355225495881185
59,0.0028439460731390204,0.530340840386026,0.4616645543770117,3.082023417750878e-05,0.005119838929645713
60,0.0032758690300438496,0.6367974628233023,0.3551835657075993,7.573873853826715e-05,0.0046673637005162786
61,0.006595477165057771,0.5612448730763876,0.4255886334342583,0.00035749326464541123,0.006213523059650811
62,0.03149297697373918,0.7637641511033222,0.16715783658521707,0.0060625667658809,0.03152246857184059
63,0.00885489984722811,0.5808017014599985,0.391324394758404,0.0024445122796960548,0.016574491654673347
64,0.025389083899099257,0.42794987316915245,0.4575418272608797,0.0023019287391256083,0.08681728693174307
65,0.010306997912841925,0.012805457211967408,0.0013711414496862587,0.0005752707561691364,0.9749411326693352
66,0.017556617054395464,0.007123184574266704,0.0002557469647987494,0.0005735531432971579,0.974490898263242
67,0.008319771463729407,0.0017568434131290923,6.365003882474015e-06,0.00026083640055158,0.9896561837187074
68,0.1660870998743055,0.007430536854552783,2.4926895682487012e-05,0.0004486243733941917,0.8260088120020651
69,0.41596452168063086,0.021098654121902906,4.065895471860401e-05,0.0008607575561405117,0.5620354076866071
70,0.6397442644585342,0.09520976824305306,0.00013011327684653518,0.0020006017301470278,0.2629152522914192
71,0.2667404633344634,0.08505659838390363,0.0004877484741098698,0.0048045981215683806,0.6429105916859548
72,0.23839261764034653,0.24260736292483473,0.0003609363686081662,0.02762693331224265,0.49101214975396784
73,0.13727556041616493,0.5137823062791672,0.002259752417033177,0.032235463926622306,0.31444691696101246
74,0.11235656121975746,0.4883411269268002,0.003063413104546517,0.013138780472699764,0.383100118276196
75,0.18590888229188984,0.24193220366825807,0.00082033547011449,0.028150202792364524,0.5431883757773731
76,0.2539066667459063,0.4131357901025956,0.0006357939733530245,0.04728884261457643,0.2850329065635686
77,0.07433136434736473,0.8402578625997895,0.0010079248539656574,0.024509525594287287,0.05989332260459294
78,0.2348460285776843,0.5293431450888396,0.0006937668188160118,0.092964959610409,0.1421520999042511
