epoch,N1,N2,N3,R,W
0,0.017098546556451297,0.00012021532628151147,1.6839578040822618e-09,0.00023940309610565697,0.9825418333372037
1,0.0438917376714016,0.00040447625750340263,4.112934988607145e-06,0.0003768990802931361,0.9553227740558133
2,0.0018499404559551712,0.00017132176616285505,7.882763560684383e-06,4.801275193164953e-05,0.9979228422623896
3,0.0007099667183502754,7.860024220675441e-05,5.551429970666643e-06,2.5979375480765048e-05,0.9991799022339914
4,0.004678908306278233,0.00014044495968170944,1.095337810544587e-06,7.873520114537604e-05,0.9951008161950841
5,0.010324809224893079,0.00014465660797773766,2.1814147728176136e-06,0.00010371956547869741,0.9894246331868776
6,0.008728869674926322,0.00027335155759991065,2.9139346802066512e-06,0.00010002795238412672,0.9908948368804095
7,0.006414979306671133,0.008845471327257179,1.3617629500320638e-05,0.0002709509930897284,0.9844549807434816
8,0.07374646537777037,0.0010768193628357976,4.8293701783049834e-06,0.0006588789293138704,0.9245130069599016
9,0.20988532703324325,0.0008969715379449242,4.482662677751836e-06,0.0010220663828952401,0.7881911523832388
10,0.3185589655498314,0.007806177713448261,5.575988508892007e-05,0.015828187325985513,0.657750909525646
11,0.08424220106008141,0.008859191677835738,6.58588161318707e-05,0.006232264783775102,0.9006004836621759
12,0.03530635962378383,0.0025776344695822894,4.731117104626786e-06,0.002771985830687694,0.9593392889588416
13,0.2656014571487532,0.04607012821670515,8.24908593208796e-05,0.022706719106144174,0.6655392046690767
14,0.04019425010865277,0.0017119571174275831,2.8249143330990318e-06,0.0007195024252875504,0.9573714654342991
15,0.7045101138643395,0.009610883494511347,8.64442637991172e-06,0.004425081226772606,0.28144527698799654
16,0.33527172019401363,0.1442410145114464,0.0007303935347978982,0.009743267788962904,0.5100136039707791
17,0.2449790352679179,0.1750616536476023,0.001825343674842101,0.0029333540330817843,0.5752006133765559
18,0.14298060906243137,0.050162272854354324,8.463781999332557e-05,0.039505297370866645,0.7672671828923542
19,0.17498090490327334,0.19170930456486313,0.0015297848431374771,0.06338576871332972,0.5683942369753963
20,0.002333963517847147,0.004307962005857213,0.0001353617697874609,0.00037857345523579377,0.9928441392512724
21,0.039889352318155956,0.003099514896280418,9.100158289641688e-06,0.0023094823642665083,0.9546925502630076
22,0.09067619152890767,0.007365972113286431,2.050690538007371e-05,0.0033783160089599566,0.8985590134434659
23,0.48684391996207455,0.005025150743942712,2.6730792405835613e-05,0.0033394414782001746,0.5047647570233766
24,0.3080912150394474,0.01476036293171075,1.1264258736616046e-05,0.009536854306433588,0.6676003034636716
25,0.07862000698521189,0.023854827833754765,0.0001584082749658276,0.004670279606074467,0.892696477299993
26,0.0001278770079167988,1.9599413843287977e-05,1.4221404341166755e-05,5.389248424928238e-06,0.9998329129254738
27,0.03312978144613116,0.00040860800014847853,2.4302685074429297e-06,0.0003363164002932165,0.9661228638849196
28,0.09317751085181984,0.0039701023049515515,7.700500316269736e-05,0.0010849578775408955,0.901690423962525
29,0.8041885121771551,0.012136347654686864,0.0001056823616656956,0.0027261674950530665,0.18084329031143945
30,0.485825187163353,0.10330808860912173,0.0006626183072001292,0.003885652814713456,0.40631845310561177
31,0.5297519181333757,0.07968617385610355,0.0005912760588738851,0.16207339718780442,0.22789723476384255
32,0.41489208225499685,0.13935329434029647,0.001955910460803297,0.17075274228368598,0.2730459706602176
33,0.24080263318600273,0.490573498788932,0.0021301824665549665,0.038733891370397865,0.2277597941881126
34,0.3622477154166533,0.2672089747496476,0.0004939923371953785,0.10355324963814118,0.2664960678583624
35,0.23255491890832983,0.6209583029830689,0.002437043667063328,0.010867443243326254,0.1331822911982117
36,0.002597444495428721,0.001416315231432266,2.9810474268510814e-05,0.00011599881105218462,0.9958404309878184
37,0.00018599078473624823,4.687805662397274e-05,1.9141748766453437e-05,1.1802279194383814e-05,0.9997361871306789
38,0.18777408108618263,0.0012864413448887212,1.3327037696216528e-05,0.002676533861004683,0.8082496166702278
39,0.2285431813137529,0.0027557620024062273,4.4802564627485814e-05,0.0009363649556120593,0.7677198891636015
40,0.0001992596013992996,1.7296033809112446e-05,6.0718654294412475e-06,1.2543770573256679e-05,0.9997648287287889
41,0.15995693836599384,0.000902716082288771,5.729372639868417e-06,0.0009215870749150346,0.8382130291041625
