epoch,N1,N2,N3,R,W
0,0.037599106238347495,0.21278349069323746,0.29340945430222054,0.0058064910927491985,0.4504014576734454
1,0.03699195685418224,0.21961614662260176,0.03112050351545424,0.002282437803646508,0.7099889552041153
2,0.014248675876857344,0.08674958381364786,0.04327664138269181,0.0005488939786990959,0.8551762049481039
3,0.001048499295578104,0.004005908245780393,0.020617862352410928,4.6440871194722e-05,0.974281289235036
4,0.0007976532806436764,0.0006933394390025526,0.00054948776049086,7.283005467319091e-05,0.9978866894651897
5,0.0004874590036153884,0.00047025189831709175,0.00033542902366898094,1.700120111462879e-05,0.9986898588732839
6,0.035114247059221226,0.01323732698949661,0.00024815705524522716,0.0003749072443761927,0.9510253616516607
7,0.008843151428057397,0.004274331099237993,0.00062027798200992,0.00014690633262844202,0.9861153331580663
8,0.009940635595798452,0.003990905150326714,0.0020533964798162435,0.00018818376222747054,0.983826879011831
9,0.006996576356722595,0.010182108755221743,0.002730709648682423,0.00010661651762056843,0.9799839887217527
10,0.011964096887175864,0.006750955959975505,8.276519726836172e-05,0.0002207452994356695,0.9809814366561447
11,0.14766876495593825,0.06028990985969646,0.0002427588657917282,0.008648056798787366,0.7831505095197862
12,0.04301266398543139,0.12091237130547337,0.0004499139852184777,0.0014730080349164164,0.8341520426889604
13,0.37654360338107135,0.16157380501473695,0.0003468492332222798,0.018276285122813398,0.44325945724815613
14,0.2325640578650786,0.2094560132626317,0.00038653305647614846,0.06247267633034856,0.4951207194854649
15,0.09599076458330301,0.5535882447550589,0.001084812933240663,0.010915642150008306,0.3384205355783893
16,0.18250737053188026,0.22712082176955595,0.0007638683452570904,0.08548752382056572,0.504120415532741
17,0.22788061013846359,0.21337530389745982,0.000888542478308222,0.11008188167096654,0.4477736618148019
18,0.23302747300492943,0.17489753074322498,0.000659318663695994,0.18484679617141794,0.4065688814167316
19,0.2792766662752044,0.22264330384956785,0.00039311943614815214,0.18009232991703908,0.3175945805220405
20,0.3391415266828178,0.26617717458146617,0.0006052595151780513,0.10233970854544218,0.29173633067509597
21,0.2220017789981249,0.30539926781406057,0.0003811248267061425,0.1025532396249808,0.36966458873612773
22,0.05451575350320362,0.33226442499748476,0.0019924406188760947,0.0036252055234259374,0.6076021753570097
23,0.2331774236729146,0.3941101930149676,0.0008571809895257744,0.028492580092996846,0.3433626222295951
24,0.09839765747417874,0.42832419786200915,0.002131986350033303,0.00924695689786362,0.4618992014159153
25,0.1254541952878519,0.4111727242302531,0.005185176786575111,0.004553728329951954,0.45363417536536804
26,0.15391580857388434,0.24585573755419815,0.0017442534834967622,0.0062208262598461034,0.5922633741285747
27,0.05140688441822134,0.42302343568307793,0.001668819169501368,0.0013754729810175764,0.5225253877481818
28,0.1029410541953496,0.31136921580345983,0.0015235197918504319,0.0020398568765584843,0.5821263533327816
29,0.08148645761416469,0.4514447278837359,0.001895788839152629,0.0020666404252683472,0.4631063852376785
30,0.025581293886002943,0.09388422896323828,0.005310646730157916,0.0006450417889143618,0.8745787886316866
31,0.030667220737927065,0.09937730555208506,0.0009408712410818586,0.0006255953081946294,0.8683890071607113
32,0.005074470038944834,0.018592062179282314,0.004677219039041953,0.0003041760600806926,0.9713520726826503
33,0.0033451175748741707,0.009528929015606775,0.0049857310685756835,0.00030386080657677817,0.9818363615343667
34,0.00250828835180099,0.008863964906747108,0.0019742373567986074,0.00010183981179367097,0.9865516695728598
35,0.0008027616672785759,0.0022714935142341343,0.0015893823520608812,2.6872764303696897e-05,0.9953094897021227
