epoch,N1,N2,N3,R,W
0,0.0011660046194310765,0.000150937952368096,1.8605635521139236e-05,0.00027959606350449513,0.9983848557291752
1,0.0015973798438957921,8.065113834654318e-05,8.351727500074597e-06,0.00020759329610472231,0.9981060239941527
2,0.0033912538055900603,8.603408954289047e-05,6.875218355732639e-06,0.0004730551567712931,0.9960427817297401
3,0.007281995840113455,0.0002486590869829684,2.1753455693254097e-05,0.0009490334158546123,0.9914985582013558
4,0.001533114360979708,0.00012900116958752068,8.1589677206248e-06,0.0004902780501906906,0.9978394474515215
5,0.006098364175759925,0.0002463927960988972,1.037644049020567e-05,0.0008370863043677417,0.9928077802832833
6,0.20825242325965382,0.0031828140121925716,4.571651984398303e-05,0.004801850484246566,0.7837171957240631
7,0.46012754444263787,0.011976675968017736,5.652970454190776e-05,0.01809002812726268,0.5097492217575398
8,0.2744964626884119,0.014113560898618559,7.935980206140947e-05,0.08613945236878469,0.6251711642421235
9,0.2603652240876402,0.06562704045500782,5.4938964600501506e-05,0.3558242831120472,0.31812851338070425
10,0.2815680732009392,0.05050410822141846,3.888215026139855e-05,0.21932978083030394,0.44855915559707704
11,0.006561436603612533,0.0036835739230202348,0.00010426145730839697,0.0007606400816273416,0.9888900879344314
12,0.03521975034347169,0.0027240673833539976,1.2313122481900233e-05,0.023477993222266305,0.938565875928426
13,0.02131054193519333,0.0016117792287008964,6.489229204439702e-06,0.003658997490795898,0.9734121921161055
14,0.004199117295844821,0.00019046693897282303,1.481244889837832e-06,0.0011121699615128215,0.9944967645587797
15,0.00298893162337039,0.00011290494221694039,5.451697404038396e-07,0.00035115181860068264,0.9965464664460716
16,0.002827939358334979,0.00024785012462950917,4.292012046789651e-05,0.0006103002581750444,0.9962709901383925
17,0.0038876763089641425,0.00036365646681497623,3.187323254872284e-06,0.0007050811425840412,0.995040398758382
18,0.0003835738631039897,0.00021440559213128045,1.002999796054091e-07,9.021948789193326e-05,0.9993117007568932
19,0.0004933012743201362,2.6578397625283982e-05,1.0287087645696875e-07,0.0002532505636324233,0.9992267668935457
20,0.0011898934055766981,6.833511360357158e-05,6.197303339147162e-07,8.622990474055022e-05,0.9986549218457453
21,0.0008443438147637744,0.00015364818352957052,5.726470418077412e-06,0.00011030905209588924,0.9988859724791928
22,0.007568949741687762,0.00023372778660660402,1.147803306122185e-05,0.0002667597693215953,0.9919190846693228
23,0.003856980104730429,0.0002085527169802059,7.913740058672818e-06,0.00028227373357715625,0.9956442797046535
24,0.008231971781836383,0.00018422088567746151,1.8857996261667323e-05,0.0005384586998958531,0.9910264906363287
