epoch,N1,N2,N3,R,W
0,0.013524395383521674,0.000666599160430501,7.304432813111213e-06,0.0003816706476879186,0.9854200303755467
1,0.0031522928293142446,0.00016878026295062364,3.2560025666024615e-06,0.00010198701529790536,0.9965736838898707
2,0.004705200585947993,0.00016670546981181118,1.074978654161419e-06,8.427212594803612e-05,0.995042746839638
3,0.008486568750538312,0.00030050824190283376,2.421226439524602e-06,0.00010964592912698067,0.9911008558519925
4,0.006591888524267382,0.0002758305285913783,2.2769248125082528e-06,0.00013788864654603271,0.9929921153757827
5,0.03528267749101833,0.0013085543770931648,6.819690958268082e-05,0.00032676737971382397,0.963013803842592
6,0.016550068775992074,0.0005511558994158417,2.171253906411679e-06,0.00023538007345330457,0.9826612239972324
7,0.09389040585644533,0.003021621313718759,1.0976642076523082e-05,0.0007187954706496388,0.9023582007171097
8,0.09473716981827006,0.005225064320683032,3.218713405423376e-05,0.00028918764466131917,0.8997163910823314
9,0.0006449216729279871,0.00024612137954850886,1.9920945057236052e-06,0.00015531496292865184,0.9989516498900892
10,0.09694764416145114,0.0014030198172608832,5.674676730484618e-06,0.00031695852268742383,0.9013267028218701
11,0.15798111378023594,0.003071320568043787,6.620819991483257e-06,0.0011137541991920775,0.8378271906325369
12,0.5407631937320206,0.006594429843381307,1.7009467487966946e-05,0.0010319000953485555,0.4515934668617615
13,0.5949674911807167,0.0159221498972525,2.7039412164827153e-05,0.0026021748159279824,0.3864811446939379
14,0.46712475716346236,0.058305763871685824,8.502674455221743e-05,0.005870682048963228,0.4686137701713365
15,0.45474239537798505,0.11523361049110142,6.133514025759995e-05,0.04183581372579684,0.38812684526485913
16,0.12746556295827557,0.26558233775712226,0.0003031180389527839,0.05700426361439066,0.5496447176312587
17,0.15274175608276744,0.20831537291575067,0.0012168756163681313,0.0887047517075234,0.5490212436775903
18,0.07561530799814571,0.19376617100609744,0.00047234970539548085,0.2961116335784279,0.4340345377119334
19,0.06217829562231417,0.19468949096921387,0.0003627728629040526,0.559459098862665,0.18331034168290297
20,0.10099875309997712,0.28532567744730125,0.00023504001673167735,0.5145146979841411,0.09892583145184879
21,0.46654876033479364,0.09501189205255811,7.096620684252873e-05,0.22813633579517165,0.21023204561063416
22,0.49934092700347993,0.32633440378243184,0.00019543590103590871,0.04135683710554714,0.1327723962075052
23,0.21141921735929614,0.5476928922545895,0.0036655292030967515,0.010751166337109236,0.22647119484590839
